from_molecule,relationship,to_molecule,rule,reaction_id,generation_formed
C(CC(C(C(CO)O)O)=O)=O,FORMS,O,'Elimination + enol to keto',56,1
C(CC(C(C(CO)O)O)=O)=O,FORMS,C(CC(C(C(C)=O)O)=O)=O,'Elimination + enol to keto',56,1
C(CC(C(C(CO)O)O)=O)=O,FORMS,O,'Elimination + enol to keto',58,1
C(CC(C(C(CO)O)O)=O)=O,FORMS,C(CC(C(CC=O)O)=O)=O,'Elimination + enol to keto',58,1
C(C(C(CC(CO)O)=O)O)=O,FORMS,O,'Elimination + enol to keto',60,1
C(C(C(CC(CO)O)=O)O)=O,FORMS,C(C(C=O)O)(CC(C)=O)=O,'Elimination + enol to keto',60,1
C(C(C(CC(CO)O)=O)O)=O,FORMS,O,'Elimination + enol to keto',62,1
C(C(C(CC(CO)O)=O)O)=O,FORMS,C(C(C(CCC=O)=O)O)=O,'Elimination + enol to keto',62,1
C(CC(C=O)O)(C(CO)O)=O,FORMS,O,'Elimination + enol to keto',64,1
C(CC(C=O)O)(C(CO)O)=O,FORMS,C(C(CC(C(C)=O)=O)O)=O,'Elimination + enol to keto',64,1
C(CC(C=O)O)(C(CO)O)=O,FORMS,O,'Elimination + enol to keto',66,1
C(CC(C=O)O)(C(CO)O)=O,FORMS,C(CC(CC(C=O)O)=O)=O,'Elimination + enol to keto',66,1
C(C(C(C=O)O)O)(CCO)=O,FORMS,O,'Elimination + enol to keto',67,1
C(C(C(C=O)O)O)(CCO)=O,FORMS,C(CCO)(CC(C=O)=O)=O,'Elimination + enol to keto',67,1
C(C(C(C=O)O)O)(CCO)=O,FORMS,O,'Elimination + enol to keto',68,1
C(C(C(C=O)O)O)(CCO)=O,FORMS,C(CC(C(CCO)=O)=O)=O,'Elimination + enol to keto',68,1
C(C(C(CC(CO)=O)O)O)=O,FORMS,O,'Elimination + enol to keto',69,1
C(C(C(CC(CO)=O)O)O)=O,FORMS,C(CO)(CCC(C=O)=O)=O,'Elimination + enol to keto',69,1
C(C(C(CC(CO)=O)O)O)=O,FORMS,O,'Elimination + enol to keto',70,1
C(C(C(CC(CO)=O)O)O)=O,FORMS,C(CC(CC(CO)=O)=O)=O,'Elimination + enol to keto',70,1
C(C(C(C(C(C)=O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',71,1
C(C(C(C(C(C)=O)O)O)O)=O,FORMS,C(C)(C(CC(C=O)=O)O)=O,'Elimination + enol to keto',71,1
C(C(C(C(C(C)=O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',72,1
C(C(C(C(C(C)=O)O)O)O)=O,FORMS,C(CC(C(C(C)=O)O)=O)=O,'Elimination + enol to keto',72,1
C(C(C(C(C(C)=O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',73,1
C(C(C(C(C(C)=O)O)O)O)=O,FORMS,C(C(C=O)O)(CC(C)=O)=O,'Elimination + enol to keto',73,1
C(C(C(C(C(C)=O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',74,1
C(C(C(C(C(C)=O)O)O)O)=O,FORMS,C(C(CC(C(C)=O)=O)O)=O,'Elimination + enol to keto',74,1
C(CC(C(C(C=O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',75,1
C(CC(C(C(C=O)O)O)O)=O,FORMS,C(CC(CC(C=O)=O)O)=O,'Elimination + enol to keto',75,1
C(CC(C(C(C=O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',76,1
C(CC(C(C(C=O)O)O)O)=O,FORMS,C(CC(C(CC=O)O)=O)=O,'Elimination + enol to keto',76,1
C(CC(C(C(C=O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',77,1
C(CC(C(C(C=O)O)O)O)=O,FORMS,C(C(C(CCC=O)=O)O)=O,'Elimination + enol to keto',77,1
C(CC(C(C(C=O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',78,1
C(CC(C(C(C=O)O)O)O)=O,FORMS,C(CC(CC(C=O)O)=O)=O,'Elimination + enol to keto',78,1
C(C(C(CO)O)O)=O,FORMS,O,'Elimination + enol to keto',80,1
C(C(C(CO)O)O)=O,FORMS,C(C(CCO)=O)=O,'Elimination + enol to keto',80,1
C(C(C(CO)O)O)=O,FORMS,O,'Elimination + enol to keto',82,1
C(C(C(CO)O)O)=O,FORMS,C(CC(CO)=O)=O,'Elimination + enol to keto',82,1
C(C(C(CO)O)O)=O,FORMS,O,'Elimination + enol to keto',84,1
C(C(C(CO)O)O)=O,FORMS,C(C(C(C)=O)O)=O,'Elimination + enol to keto',84,1
C(C(C(CO)O)O)=O,FORMS,O,'Elimination + enol to keto',86,1
C(C(C(CO)O)O)=O,FORMS,C(CC(C=O)O)=O,'Elimination + enol to keto',86,1
C(CO)(C(C(C(CO)O)O)O)=O,FORMS,O,'Elimination + enol to keto',88,1
C(CO)(C(C(C(CO)O)O)O)=O,FORMS,C(C(CO)=O)(CC(CO)O)=O,'Elimination + enol to keto',88,1
C(CO)(C(C(C(CO)O)O)O)=O,FORMS,O,'Elimination + enol to keto',90,1
C(CO)(C(C(C(CO)O)O)O)=O,FORMS,C(C(CO)O)(CC(CO)=O)=O,'Elimination + enol to keto',90,1
C(CO)(C(C(C(CO)O)O)O)=O,FORMS,O,'Elimination + enol to keto',92,1
C(CO)(C(C(C(CO)O)O)O)=O,FORMS,C(CCO)(C(C(CO)=O)O)=O,'Elimination + enol to keto',92,1
C(CO)(C(C(C(CO)O)O)O)=O,FORMS,O,'Elimination + enol to keto',94,1
C(CO)(C(C(C(CO)O)O)O)=O,FORMS,C(CO)(C(CC(CO)=O)O)=O,'Elimination + enol to keto',94,1
C(CO)(C(C(C(CO)O)O)O)=O,FORMS,O,'Elimination + enol to keto',96,1
C(CO)(C(C(C(CO)O)O)O)=O,FORMS,C(C)(C(C(C(CO)=O)O)O)=O,'Elimination + enol to keto',96,1
C(CO)(C(C(C(CO)O)O)O)=O,FORMS,O,'Elimination + enol to keto',98,1
C(CO)(C(C(C(CO)O)O)O)=O,FORMS,C(CC(C(C(CO)=O)O)O)=O,'Elimination + enol to keto',98,1
C(C(C1C(C(C(O)O1)O)O)O)O,FORMS,O,'Elimination + enol to keto',100,1
C(C(C1C(C(C(O)O1)O)O)O)O,FORMS,C1(CC(C(C(CO)O)O1)O)=O,'Elimination + enol to keto',100,1
C(C(C1C(C(C(O)O1)O)O)O)O,FORMS,O,'Elimination + enol to keto',102,1
C(C(C1C(C(C(O)O1)O)O)O)O,FORMS,C1(COC(C(CO)O)C1O)=O,'Elimination + enol to keto',102,1
C(C(C1C(C(C(O)O1)O)O)O)O,FORMS,O,'Elimination + enol to keto',104,1
C(C(C1C(C(C(O)O1)O)O)O)O,FORMS,C1(C(O)OC(C(CO)O)C1)=O,'Elimination + enol to keto',104,1
C(C(C1C(C(C(O)O1)O)O)O)O,FORMS,O,'Elimination + enol to keto',106,1
C(C(C1C(C(C(O)O1)O)O)O)O,FORMS,C1(C(C(CO)O)OC(C1)O)=O,'Elimination + enol to keto',106,1
C(C(C1C(C(C(O)O1)O)O)O)O,FORMS,O,'Elimination + enol to keto',108,1
C(C(C1C(C(C(O)O1)O)O)O)O,FORMS,C(C)(C1C(C(C(O1)O)O)O)=O,'Elimination + enol to keto',108,1
C(C(C1C(C(C(O)O1)O)O)O)O,FORMS,O,'Elimination + enol to keto',110,1
C(C(C1C(C(C(O)O1)O)O)O)O,FORMS,C(CC1C(C(C(O)O1)O)O)=O,'Elimination + enol to keto',110,1
C(C1C(C(C(C(O)O1)O)O)O)O,FORMS,O,'Elimination + enol to keto',112,1
C(C1C(C(C(C(O)O1)O)O)O)O,FORMS,C1(CC(C(C(CO)O1)O)O)=O,'Elimination + enol to keto',112,1
C(C1C(C(C(C(O)O1)O)O)O)O,FORMS,O,'Elimination + enol to keto',114,1
C(C1C(C(C(C(O)O1)O)O)O)O,FORMS,C1(COC(CO)C(C1O)O)=O,'Elimination + enol to keto',114,1
C(C1C(C(C(C(O)O1)O)O)O)O,FORMS,O,'Elimination + enol to keto',116,1
C(C1C(C(C(C(O)O1)O)O)O)O,FORMS,C1(C(O)OC(CO)C(C1)O)=O,'Elimination + enol to keto',116,1
C(C1C(C(C(C(O)O1)O)O)O)O,FORMS,O,'Elimination + enol to keto',118,1
C(C1C(C(C(C(O)O1)O)O)O)O,FORMS,C1(C(C(CO)OC(C1)O)O)=O,'Elimination + enol to keto',118,1
C(C1C(C(C(C(O)O1)O)O)O)O,FORMS,O,'Elimination + enol to keto',120,1
C(C1C(C(C(C(O)O1)O)O)O)O,FORMS,C1(C(C(O)OC(CO)C1)O)=O,'Elimination + enol to keto',120,1
C(C1C(C(C(C(O)O1)O)O)O)O,FORMS,O,'Elimination + enol to keto',122,1
C(C1C(C(C(C(O)O1)O)O)O)O,FORMS,C1(C(CO)OC(C(C1)O)O)=O,'Elimination + enol to keto',122,1
C1C(C(C(C(C(O)O1)O)O)O)O,FORMS,O,'Elimination + enol to keto',124,1
C1C(C(C(C(C(O)O1)O)O)O)O,FORMS,C1(CC(C(C(CO1)O)O)O)=O,'Elimination + enol to keto',124,1
C1C(C(C(C(C(O)O1)O)O)O)O,FORMS,O,'Elimination + enol to keto',126,1
C1C(C(C(C(C(O)O1)O)O)O)O,FORMS,C1(COCC(C(C1O)O)O)=O,'Elimination + enol to keto',126,1
C1C(C(C(C(C(O)O1)O)O)O)O,FORMS,O,'Elimination + enol to keto',128,1
C1C(C(C(C(C(O)O1)O)O)O)O,FORMS,C1(C(O)OCC(C(C1)O)O)=O,'Elimination + enol to keto',128,1
C1C(C(C(C(C(O)O1)O)O)O)O,FORMS,O,'Elimination + enol to keto',130,1
C1C(C(C(C(C(O)O1)O)O)O)O,FORMS,C1(C(C(COC(C1)O)O)O)=O,'Elimination + enol to keto',130,1
C1C(C(C(C(C(O)O1)O)O)O)O,FORMS,O,'Elimination + enol to keto',132,1
C1C(C(C(C(C(O)O1)O)O)O)O,FORMS,C1(C(C(O)OCC(C1)O)O)=O,'Elimination + enol to keto',132,1
C1C(C(C(C(C(O)O1)O)O)O)O,FORMS,O,'Elimination + enol to keto',134,1
C1C(C(C(C(C(O)O1)O)O)O)O,FORMS,C1(C(COC(C(C1)O)O)O)=O,'Elimination + enol to keto',134,1
C1C(C(C(C(C(O)O1)O)O)O)O,FORMS,O,'Elimination + enol to keto',136,1
C1C(C(C(C(C(O)O1)O)O)O)O,FORMS,C1(C(C(C(O)OCC1)O)O)=O,'Elimination + enol to keto',136,1
C1C(C(C(C(C(O)O1)O)O)O)O,FORMS,O,'Elimination + enol to keto',138,1
C1C(C(C(C(C(O)O1)O)O)O)O,FORMS,C1(COC(C(C(C1)O)O)O)=O,'Elimination + enol to keto',138,1
C(C(C(C(C(CO)O)O)O)O)(O)=O,FORMS,O,'Elimination + enol to keto',140,1
C(C(C(C(C(CO)O)O)O)O)(O)=O,FORMS,C(C(CC(C(CO)O)O)=O)(O)=O,'Elimination + enol to keto',140,1
C(C(C(C(C(CO)O)O)O)O)(O)=O,FORMS,O,'Elimination + enol to keto',142,1
C(C(C(C(C(CO)O)O)O)O)(O)=O,FORMS,C(CC(C(C(CO)O)O)=O)(O)=O,'Elimination + enol to keto',142,1
C(C(C(C(C(CO)O)O)O)O)(O)=O,FORMS,O,'Elimination + enol to keto',144,1
C(C(C(C(C(CO)O)O)O)O)(O)=O,FORMS,C(C(C(CC(CO)O)=O)O)(O)=O,'Elimination + enol to keto',144,1
C(C(C(C(C(CO)O)O)O)O)(O)=O,FORMS,O,'Elimination + enol to keto',146,1
C(C(C(C(C(CO)O)O)O)O)(O)=O,FORMS,C(CC(C(O)=O)O)(C(CO)O)=O,'Elimination + enol to keto',146,1
C(C(C(C(C(CO)O)O)O)O)(O)=O,FORMS,O,'Elimination + enol to keto',148,1
C(C(C(C(C(CO)O)O)O)O)(O)=O,FORMS,C(C(C(C(O)=O)O)O)(CCO)=O,'Elimination + enol to keto',148,1
C(C(C(C(C(CO)O)O)O)O)(O)=O,FORMS,O,'Elimination + enol to keto',150,1
C(C(C(C(C(CO)O)O)O)O)(O)=O,FORMS,C(C(C(CC(CO)=O)O)O)(O)=O,'Elimination + enol to keto',150,1
C(C(C(C(C(CO)O)O)O)O)(O)=O,FORMS,O,'Elimination + enol to keto',152,1
C(C(C(C(C(CO)O)O)O)O)(O)=O,FORMS,C(C(C(C(C(C)=O)O)O)O)(O)=O,'Elimination + enol to keto',152,1
C(C(C(C(C(CO)O)O)O)O)(O)=O,FORMS,O,'Elimination + enol to keto',154,1
C(C(C(C(C(CO)O)O)O)O)(O)=O,FORMS,C(CC(C(C(C(O)=O)O)O)O)=O,'Elimination + enol to keto',154,1
C(C(C(C(C(CO)O)O)O)O)O,FORMS,O,'Elimination + enol to keto',156,1
C(C(C(C(C(CO)O)O)O)O)O,FORMS,C(CC(C(C(CO)O)O)O)=O,'Elimination + enol to keto',156,1
C(C(C(C(C(CO)O)O)O)O)O,FORMS,O,'Elimination + enol to keto',158,1
C(C(C(C(C(CO)O)O)O)O)O,FORMS,C(C)(C(C(C(CO)O)O)O)=O,'Elimination + enol to keto',158,1
C(C(C(C(C(CO)O)O)O)O)O,FORMS,O,'Elimination + enol to keto',160,1
C(C(C(C(C(CO)O)O)O)O)O,FORMS,C(CO)(CC(C(CO)O)O)=O,'Elimination + enol to keto',160,1
C(C(C(C(C(CO)O)O)O)O)O,FORMS,O,'Elimination + enol to keto',162,1
C(C(C(C(C(CO)O)O)O)O)O,FORMS,C(C(C(CO)O)O)(CCO)=O,'Elimination + enol to keto',162,1
C(C(C(C(C(CO)O)O)O)O)O,FORMS,O,'Elimination + enol to keto',164,1
C(C(C(C(C(CO)O)O)O)O)O,FORMS,C(C(CO)O)(CC(CO)O)=O,'Elimination + enol to keto',164,1
C(C(CC(C(CO)O)O)=O)=O,FORMS,O,'Elimination2',166,1
C(C(CC(C(CO)O)O)=O)=O,FORMS,C(C(CO)O)=CC(C=O)=O,'Elimination2',166,1
C(C(C(CC(CO)O)=O)O)=O,FORMS,O,'Elimination2',168,1
C(C(C(CC(CO)O)=O)O)=O,FORMS,C(C(C(C=CCO)=O)O)=O,'Elimination2',168,1
C(CC(C=O)O)(C(CO)O)=O,FORMS,O,'Elimination2',170,1
C(CC(C=O)O)(C(CO)O)=O,FORMS,C(C=CC(C(CO)O)=O)=O,'Elimination2',170,1
C(C(C(C=O)O)O)(CCO)=O,FORMS,O,'Elimination2',172,1
C(C(C(C=O)O)O)(CCO)=O,FORMS,C(C(C(C(C=C)=O)O)O)=O,'Elimination2',172,1
C(C(C(CC(CO)=O)O)O)=O,FORMS,O,'Elimination2',174,1
C(C(C(CC(CO)=O)O)O)=O,FORMS,C(C(C=CC(CO)=O)O)=O,'Elimination2',174,1
C(CC(C(C(C=O)O)O)O)=O,FORMS,O,'Elimination2',176,1
C(CC(C(C(C=O)O)O)O)=O,FORMS,C(C(C(C=CC=O)O)O)=O,'Elimination2',176,1
C(C(CC(C(CO)O)O)=O)=O,FORMS,C(C(C)=O)=O,'Retro Aldol',179,1
C(C(CC(C(CO)O)O)=O)=O,FORMS,C(C(CO)O)=O,'Retro Aldol',179,1
C(CC(C(C(CO)O)O)=O)=O,FORMS,C(CO)=O,'Retro Aldol',180,1
C(CC(C(C(CO)O)O)=O)=O,FORMS,C(CC(CO)=O)=O,'Retro Aldol',180,1
C(C(C(CC(CO)O)=O)O)=O,FORMS,C(CO)=O,'Retro Aldol',181,1
C(C(C(CC(CO)O)=O)O)=O,FORMS,C(C(C(C)=O)O)=O,'Retro Aldol',181,1
C(CC(C=O)O)(C(CO)O)=O,FORMS,C(C=O)=O,'Retro Aldol',184,1
C(CC(C=O)O)(C(CO)O)=O,FORMS,C(C)(C(CO)O)=O,'Retro Aldol',184,1
C(CC(C=O)O)(C(CO)O)=O,FORMS,C(C(CC(CO)=O)O)=O,'Retro Aldol',187,1
C(CC(C=O)O)(C(CO)O)=O,FORMS,C=O,'Retro Aldol',187,1
C(C(C(C=O)O)O)(CCO)=O,FORMS,C(CO)=O,'Retro Aldol',188,1
C(C(C(C=O)O)O)(CCO)=O,FORMS,C(C(CCO)=O)=O,'Retro Aldol',188,1
C(C(C(C=O)O)O)(CCO)=O,FORMS,C(C=O)=O,'Retro Aldol',190,1
C(C(C(C=O)O)O)(CCO)=O,FORMS,C(CO)(CCO)=O,'Retro Aldol',190,1
C(C(C(C=O)O)O)(CCO)=O,FORMS,C=O,'Retro Aldol',192,1
C(C(C(C=O)O)O)(CCO)=O,FORMS,C(C(C(C(C)=O)O)O)=O,'Retro Aldol',192,1
C(C(C(CC(CO)=O)O)O)=O,FORMS,C(CO)=O,'Retro Aldol',193,1
C(C(C(CC(CO)=O)O)O)=O,FORMS,C(CC(CO)=O)=O,'Retro Aldol',193,1
C(C(C(CC(CO)=O)O)O)=O,FORMS,C(C(C=O)O)=O,'Retro Aldol',196,1
C(C(C(CC(CO)=O)O)O)=O,FORMS,C(C)(CO)=O,'Retro Aldol',196,1
C(C(C(C(C(C)=O)O)O)O)=O,FORMS,C(CO)=O,'Retro Aldol',197,1
C(C(C(C(C(C)=O)O)O)O)=O,FORMS,C(C(C(C)=O)O)=O,'Retro Aldol',197,1
C(C(C(C(C(C)=O)O)O)O)=O,FORMS,C(C(C=O)O)=O,'Retro Aldol',198,1
C(C(C(C(C(C)=O)O)O)O)=O,FORMS,C(C)(CO)=O,'Retro Aldol',198,1
C(CC(C(C(C=O)O)O)O)=O,FORMS,C(CO)=O,'Retro Aldol',199,1
C(CC(C(C(C=O)O)O)O)=O,FORMS,C(CC(C=O)O)=O,'Retro Aldol',199,1
C(CC(C(C(C=O)O)O)O)=O,FORMS,C(C(C(C=O)O)O)=O,'Retro Aldol',202,1
C(CC(C(C(C=O)O)O)O)=O,FORMS,C(C)=O,'Retro Aldol',202,1
C(C(C(CO)O)O)=O,FORMS,C(CO)=O,'Retro Aldol',203,1
C(C(C(CO)O)O)=O,FORMS,C(CO)=O,'Retro Aldol',203,1
C(CO)(C(C(C(CO)O)O)O)=O,FORMS,C(C(CO)O)=O,'Retro Aldol',205,1
C(CO)(C(C(C(CO)O)O)O)=O,FORMS,C(CO)(CO)=O,'Retro Aldol',205,1
C(CC(C(C(CO)O)O)=O)=O,FORMS,C(CC(C(C(CO)O)=O)O)=O,'Keto-enol migration twice',207,1
C(C(C(CC(CO)O)=O)O)=O,FORMS,C(C(CO)=O)(CC(CO)O)=O,'Keto-enol migration twice',208,1
C(C(C(CC(CO)O)=O)O)=O,FORMS,C(C(C(CC(CO)O)O)=O)=O,'Keto-enol migration twice',210,1
